from,to,value
2931,2903,-0.0625
2931,2915,-0.05357142857142857
2931,2921,-0.05357142857142857
2931,0101,-0.03125
2931,3406,-0.02586206896551724
2931,3808,-0.026785714285714284
2931,7116,-0.041666666666666664
0102,1213,-0.020833333333333332
0103,0203,-0.03333333333333333
0103,1704,-0.016826923076923076
0103,1905,-0.015350877192982455
0104,6803,-0.02
0104,4102,-0.014285714285714285
0105,8449,-0.025210084033613446
0106,2834,-0.0125
0201,1502,-0.029017857142857144
0202,1502,-0.02717391304347826
0203,9016,-0.04
0203,0206,-0.031746031746031744
0203,0210,-0.040740740740740744
0203,1602,-0.02280701754385965
0203,4411,-0.021568627450980392
0204,0410,-0.018518518518518517
0205,0505,-0.02727272727272727
0207,2926,-0.025454545454545455
0208,1109,-0.024242424242424242
0209,8449,-0.041666666666666664
0301,9616,-0.014814814814814815
0302,4701,-0.013409961685823755
0303,0304,-0.010628247520075578
0304,8902,-0.013136288998357963
0305,4502,-0.01509433962264151
0306,5307,-0.013888888888888888
0307,4502,-0.014285714285714285
0401,1109,-0.020454545454545454
0402,3501,-0.022267206477732792
0403,7226,-0.022448979591836733
0404,3501,-0.03296703296703297
0405,3501,-0.03678929765886288
0406,5704,-0.021875
0407,4502,-0.018604651162790697
0408,8449,-0.03759398496240601
0409,4504,-0.017421602787456445
0410,9108,-0.027777777777777776
0501,5307,-0.038461538461538464
0502,0903,-0.0625
0502,0906,-0.03571428571428571
0502,1201,-0.03333333333333333
0502,1006,-0.02
0502,4412,-0.020833333333333332
0502,5005,-0.0625
0502,6001,-0.041666666666666664
0504,4502,-0.02666666666666667
0505,1512,-0.024242424242424242
0505,7009,-0.045454545454545456
0506,3504,-0.023809523809523808
0507,2612,-0.024509803921568627
0508,5305,-0.01636904761904762
0510,1502,-0.02027027027027027
0511,4701,-0.018912529550827423
0601,3807,-0.038461538461538464
0601,1209,-0.020361990950226245
0602,0603,-0.018575851393188854
0602,4502,-0.023529411764705882
0603,0708,-0.016194331983805668
0604,4502,-0.01951219512195122
0701,8449,-0.01984126984126984
0702,4502,-0.024242424242424242
0702,0707,-0.022144522144522144
0703,5701,-0.016203703703703703
0704,4502,-0.025
0705,4501,-0.028985507246376812
0705,0809,-0.0189520624303233
0705,0810,-0.017189079878665317
0711,0706,-0.027777777777777776
0903,0706,-0.0625
0903,2308,-0.023148148148148147
0903,2401,-0.017857142857142856
0909,0706,-0.038461538461538464
0910,0706,-0.02
1207,0706,-0.016129032258064516
1509,0805,-0.02022058823529412
1509,0706,-0.0625
8609,0706,-0.022727272727272728
9505,6913,-0.045454545454545456
9505,0706,-0.045454545454545456
0709,1510,-0.013440860215053764
0710,4504,-0.023809523809523808
0712,6702,-0.024
0713,1007,-0.019886363636363636
0714,0801,-0.014652014652014652
0801,5305,-0.024489795918367346
0802,6803,-0.017361111111111112
0803,1802,-0.016666666666666666
0804,4501,-0.014367816091954023
0806,2810,-0.02
0807,6803,-0.017361111111111112
0808,2003,-0.023255813953488372
0811,1510,-0.018518518518518517
0812,5005,-0.03125
0813,8449,-0.018633540372670808
0814,4501,-0.02666666666666667
0814,2009,-0.011515151515151515
0901,2935,-0.014204545454545454
0902,5310,-0.019157088122605363
